tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
maze,MZ-FLOAT,nl.uu.maze.benchmarks.FloatStatistics,1,70,85595,28,14,0,0,0,19,15,78.94737,10,8,80.0,29,23,79.31035,23,79.31035,6,60,1
maze,MZ-ACK,nl.uu.maze.benchmarks.AckermannPeter,1,116,66239,130398,60,0,2,0,8,7,87.5,8,8,100.0,13,13,100.0,13,100.0,0,60,1
maze,MZ-STRUTILS,nl.uu.maze.benchmarks.StringUtils,1,65,56532,727,3552,0,0,0,126,112,88.88889,122,109,89.34426,155,148,95.48387,100,64.51613,55,60,1
maze,MZ-INTUTILS,nl.uu.maze.benchmarks.IntUtils,1,64,64236,57,106,0,0,0,34,33,97.05882,26,26,100.0,42,42,100.0,40,95.2381,2,60,1
maze,MZ-PATTERNMATCH,nl.uu.maze.benchmarks.StringPatternMatcher,1,72,62491,470,2749,0,0,0,110,108,98.18182,138,136,98.55073,162,161,99.38271,139,85.802475,23,60,1
maze,SVC-EULER,nl.uu.maze.benchmarks.svcomp.float_nonlinear_calculation.Euler,1,67,2033,29,1,0,0,0,11,9,81.818184,4,3,75.0,12,12,100.0,3,25.0,9,60,1
maze,MZ-GRAPH,nl.uu.maze.benchmarks.GraphTraversal,1,75,62204,535,945,0,0,0,31,29,93.548386,18,17,94.44444,27,26,96.296295,26,96.296295,1,60,1
maze,SVC-BELLMANFORD,nl.uu.maze.benchmarks.svcomp.algorithms.BellmanFord_FunSat01,1,71,18698,108,194,0,0,0,36,34,94.44444,40,36,90.0,51,51,100.0,31,60.784317,20,60,1
maze,MZ-EXPR,nl.uu.maze.benchmarks.ExprEvaluator,1,63,63035,1297,4539,0,0,0,56,47,83.92857,48,38,79.16667,63,53,84.12698,53,84.12698,10,60,1
maze,MZ-MATRIX,nl.uu.maze.benchmarks.MatrixAnalyzer,1,72,62726,1393,4828,0,0,0,14,13,92.85714,18,18,100.0,23,23,100.0,23,100.0,0,60,1
maze,MZ-HEAPSORT,nl.uu.maze.benchmarks.HeapSort,1,65,62033,18,4,1,0,0,30,0,0.0,26,0,0.0,36,0,0.0,0,0.0,36,60,1
maze,MZ-BINTREE,nl.uu.maze.benchmarks.BinaryTree,1,75,67678,4280,10915,0,0,0,65,48,73.84615,48,25,52.083332,71,45,63.380283,34,47.887325,37,60,1
maze,MZ-BITWISE,nl.uu.maze.benchmarks.BitwiseManipulator,1,63,59815,967,4409,0,0,0,70,69,98.57143,32,32,100.0,121,121,100.0,64,52.89256,57,60,1
maze,SVC-CONFLICT,nl.uu.maze.benchmarks.svcomp.float_nonlinear_calculation.Conflict,1,73,66959,49,11,0,0,0,54,12,22.222223,36,21,58.333332,68,22,32.352943,0,0.0,68,60,1
maze,SVC-MINEPUMP,nl.uu.maze.benchmarks.svcomp.MinePump.spec1_5_product1.Actions,1,62,59539,296,1558,0,0,0,85,77,90.588234,58,45,77.58621,0,0,0.0,0,0.0,0,60,1
maze,MZ-PATHS,nl.uu.maze.benchmarks.ConvergingPaths,1,63,62128,48,32,0,0,0,20,18,90.0,36,30,83.33333,52,48,92.30769,48,92.30769,4,60,1
maze,MZ-BRACKETS,nl.uu.maze.benchmarks.BracketBalancer,1,62,60119,1429,5446,0,0,0,15,14,93.333336,30,30,100.0,24,24,100.0,24,100.0,0,60,1
maze,MZ-DIJKSTRA,nl.uu.maze.benchmarks.Dijkstra,1,67,17041,146,326,0,0,0,45,44,97.77778,34,32,94.117645,44,44,100.0,38,86.36364,6,60,1
maze,SVC-RBT,nl.uu.maze.benchmarks.svcomp.algorithms.RedBlackTree_MemSat01.RedBlackTree_MemSat01,1,71,64560,8352,5027,0,4811,0,236,160,67.796616,170,88,51.76471,0,0,0.0,0,0.0,0,60,1
maze,MZ-LIST,nl.uu.maze.benchmarks.SinglyLinkedList,1,64,62016,60,106,0,0,0,53,52,98.11321,30,29,96.666664,27,26,96.296295,26,96.296295,1,60,1
maze,SVC-OPTIMIZATION,nl.uu.maze.benchmarks.svcomp.float_nonlinear_calculation.Optimization,1,62,79459,29,0,0,1,0,33,0,0.0,32,0,0.0,81,0,0.0,0,0.0,81,60,1
maze,MZ-COMPONENTS,nl.uu.maze.benchmarks.ConnectedComponents,1,66,62398,870,848,0,0,0,40,37,92.5,38,35,92.10526,41,40,97.560974,35,85.36585,6,60,1
maze,MZ-TRIANGLE,nl.uu.maze.benchmarks.TriangleClassifier,1,61,64658,51,30,0,0,0,28,26,92.85714,66,62,93.93939,75,74,98.66667,74,98.66667,1,60,1
maze,MZ-LOOPS,nl.uu.maze.benchmarks.NestedLoops,1,70,61928,110,294,0,0,0,24,23,95.83333,30,30,100.0,43,43,100.0,43,100.0,0,60,1
maze,SVC-BESSEL,nl.uu.maze.benchmarks.svcomp.float_nonlinear_calculation.Bessel,1,67,29710,33,12,0,0,0,16,14,87.5,24,23,95.83333,26,26,100.0,14,53.846157,12,60,1
maze,MZ-SORT,nl.uu.maze.benchmarks.QuickSort,1,67,62147,176,1008,0,0,0,20,19,95.0,6,6,100.0,20,20,100.0,20,100.0,0,60,1
maze,MZ-SEARCH,nl.uu.maze.benchmarks.BinarySearch,1,65,27401,93,299,0,0,0,11,10,90.909096,6,6,100.0,13,13,100.0,13,100.0,0,60,1
